run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
0,km,123.297000,0,0.936465,0.139228,0.672838,0.830794,0.922998,1.020884,1.364205,655
0,km,123.297000,1,110.393320,91.290088,14.735447,38.303209,85.243938,141.395679,410.598247,22
0,km,123.297000,2,29.063201,20.584921,2.376385,13.149638,24.505632,37.156904,88.993224,140
0,km,123.297000,3,0.772420,0.148766,0.495283,0.647075,0.743071,0.895442,1.100511,1483
0,km,123.297000,4,0.860155,0.478898,0.262397,0.463370,0.801369,1.152837,3.115668,1860
0,km,123.297000,5,0.777607,0.275572,0.341581,0.522052,0.738864,0.994124,1.382641,2266
0,km,123.297000,6,0.804701,0.094095,0.584908,0.729941,0.785942,0.874170,1.172185,764
0,km,123.297000,7,0.818606,0.093206,0.595330,0.745254,0.809830,0.891408,1.084045,718
0,km,123.297000,8,13.009469,9.506767,1.407571,5.683081,10.603439,15.985898,39.106281,372
0,km,123.297000,9,1.281536,0.359944,0.744549,0.981118,1.208089,1.491671,2.245773,749
0,km,123.297000,10,5.581504,3.799915,1.099148,2.472932,4.447223,7.342371,15.480153,629
0,km,123.297000,11,0.782995,0.126490,0.492750,0.676230,0.764446,0.880994,1.086402,1252
0,km,123.297000,12,68.449203,39.386664,5.759653,38.027049,64.338342,89.109391,158.474876,57
0,km,123.297000,13,0.766328,0.184194,0.458885,0.604647,0.724948,0.926380,1.201148,1760
0,km,123.297000,14,1.775230,0.738679,0.802942,1.126193,1.604242,2.154033,3.751577,790
0,km,123.297000,15,2.883388,1.503248,0.913359,1.644514,2.638916,3.716733,6.674602,848
0,km,123.297000,16,1.053721,0.206864,0.651024,0.878408,1.005530,1.183156,1.640555,708
0,km,123.297000,17,0.786898,0.109167,0.524902,0.696745,0.768850,0.868799,1.047868,959
0,km,123.297000,18,0.869214,0.110640,0.607600,0.785527,0.853093,0.945473,1.225309,659
0,km,123.297000,19,0.772448,0.223639,0.387178,0.565573,0.731191,0.957886,1.287597,2137
0,bkm,47.220000,0,1.108614,0.460843,0.390216,0.655772,1.047294,1.494812,2.048875,3695
0,bkm,47.220000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
